ID,CABIN,CUARTO ES,CUARTO FR,CUARTO EN,capacidad,ocupacion,isShared
VILLA DALIA-3,VILLA DALIA,CUARTO 3: 1 CAMA MATRIMONIAL,CHAMBRE 3 : 1 LIT DOUBLE,BEDROOM 3: 1 DOUBLE BED,2,2,FALSE
VILLA DON AGUSTIN,VILLA DON AGUSTIN,CUARTO: 2 CAMAS MATRIMONIALES,CHAMBRE : 2 LITS DOUBLES,BEDROOM: 2 DOUBLE BEDS,4,5,TRUE
VILLA DON RAFA-1,VILLA DON RAFA,CUARTO 1: UNA CAMA KING SIZE Y UNA INDIVUDAL,CHAMBRE 1 : 1 LIT KING SIZE ET 1 LIT SIMPLE,BEDROOM 1: 1 KING-SIZE BED AND 1 SINGLE BED,3,2,TRUE
VILLA DON RAFA-2,VILLA DON RAFA,CUARTO 2:  CAMA MATRIMONIAL,CHAMBRE 2 : 1 LIT DOUBLE,BEDROOM 2: 1 DOUBLE BED,2,4,FALSE
VILLA HORTENCIA-1,VILLA HORTENCIA,CUARTO: 1 CAMA KING SIZE,CHAMBRE : 1 LIT KING SIZE,BEDROOM: 1 KING-SIZE BED,2,2,TRUE
VILLA HORTENCIA-2,VILLA HORTENCIA,SALA: SOFA CAMA PARA 2 MENORES,SALON : CANAPÉ-LIT POUR 2 ENFANTS,LIVING ROOM: SOFA BED FOR 2 CHILDREN,2,0,TRUE
VILLA LAVANDA,VILLA LAVANDA,CUARTO: 2 CAMAS MATRIMONIALES,CHAMBRE : 2 LITS DOUBLES,BEDROOM: 2 DOUBLE BEDS,4,5,TRUE
VILLA MARGARITA-1,VILLA MARGARITA,CUARTO 1: 2 CAMAS MATRIMONIALES,CHAMBRE 1 : 2 LITS DOUBLES,BEDROOM 1: 2 DOUBLE BEDS,4,4,TRUE
VILLA MARGARITA-2,VILLA MARGARITA,CUARTO 2: 4 CAMAS INDIVUDALES (LITERAS),CHAMBRE 2 : 4 LITS SIMPLES (LITS SUPERPOSÉS),BEDROOM 2: 4 SINGLE BEDS (BUNK BEDS),4,0,TRUE
VILLA MARGARITA-3,VILLA MARGARITA,CUARTO 3: 1 CAMA MATRIMONIAL,CHAMBRE 3 : 1 LIT DOUBLE,BEDROOM 3: 1 DOUBLE BED,2,16,FALSE
